title,url,expireDay,deadline,type,imageUrl,projectDesc,budget,skills
طراحی و تولید محتوا بروشور,https://www.karlancer.com/projects/21452,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,طراحی و تولید محتوا بروشور جهت معرفی شرکت و خدمات آن برای نمایشگاه,"۵۰۰,۰۰۰ تومان","[""طراحی بروشور"",""طراحی کاتالوگ و بروشور"",""بروشور و کاتالوگ"",""بروشور"",""کاتالوگ و بروشور"",""فتوشاپ"",""ست اداری وکاتالوگ وبروشور"",""ادوبی ایلوستریتور"",""ایلاستریتور"",""ایلوستریتور""]"
ساخت فایل لایه باز (psd) برای وریفای اکانت,https://www.karlancer.com/projects/21451,۲۹ روز مانده,زمان پیشنهادی ۱۰ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"جهت وریفای اکانت در برخی سایت های خارجی مانند لینکدین، نیاز داریم به یک فایل فتوشاپ لایه باز (psd) که بتونیم اطلاعات شو ادیت کنیم
اگه در فتوشاپ کاملا حرفه ای هستید پیشنهاد بزنید. اطلاعات تکمیلی رو تو چت براتون ارسال میکنیم","۸۰۰,۰۰۰ تومان","[""طراحی گرافیک"",""فتوشاپ"",""photoshop"",""طراحی کارت ویزیت"",""ادیت عکس"",""فتوشاپ کار"",""ادیتور فیلم و عکس"",""ادوبی فتوشاپ""]"
طراحی ترمینال,https://www.karlancer.com/projects/21450,۲۹ روز مانده,زمان پیشنهادی ۶ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,من یک پروژه کامل ترمینال دارم با مدارک کامل اما در سایت پلان مورد نظرم قرار ندارد من میخوام بنای من جوری در سایت پلان قرار گیرد که انگار برای اون طراحی شده و یکسری چیزها به سایت پلان جدید اضافه شود  همچنین پلان ها  اندازه مناسب ان سایت پلان را داشته باشند و با مقیاس ۱به ۲۰۰ و ۱ نما و ۱ مقطع با این ابعاد تمامی مدارک موجود است.و از انجایی که فونت من نمیخونه میخوام یه عکس ساده از پلان برای ریز فضا ها داشته باشم که چه اتاق هایی در ان قرار داره,"۲۰۰,۰۰۰ تومان","[""اتوکد 2 بعدی"",""اتوکد کار"",""معماری"",""طراحی پلان"",""اتوکد"",""نقشه کشی اتوکد"",""معماری داخلی"",""طراحی سه بعدی"",""مدل سازی سه بعدی"",""سه بعدی""]"
تبدیل یه اندیکاتور از زبان پان اسکریپت به متا تریدر5,https://www.karlancer.com/projects/21448,۲۹ روز مانده,زمان پیشنهادی ۷ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,تبدیل یه اندیکاتور پان اسکریپت تریدینگ ویو به استراتژی و تبدیل آن به متا تریدر4و5,"۵,۰۰۰,۰۰۰ تومان","[""اندیکاتور"",""متاتریدر"",""ترید"",""تریدر"",""mql4"",""mql5"",""mql"",""برنامه نویسی""]"
با ۱۰۰۰ کلمه جمله بسازید- پروژه سوم,https://www.karlancer.com/projects/21447,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"در این پروژه به فریلنسر آقا نیاز داریم. 

یک پروژه راحت که به دقت و حوصله نیاز دارد.
ازتون میخوام یک اپلیکیشن دانلود کنید و در ان با ۱۰۰۰ کلمه جمله بسازید و صدای خودتان را اپلود کنید .
برای این کار به اینترنت با سرعت خوب ، هندزفری یا میکروفن و گوشی موبایل یا تبلت نیاز دارید. 
برای کار بابرنامه به سطح زبان مبتدی تا متوسط نیاز دارین.
برای توضیح بیشتر و نحوه کار با اپلیکیشن براتون ۱ فایل ورد اپلود کردم حتما مطالعه کنید .
پروژه سوم","۴۰۰,۰۰۰ تومان","[""تولید محتوا"",""محتوا نویسی"",""محتوا"",""نویسندگی محتوا"",""تولید محتوای وبسایت"",""تولیدمحتوا"",""تولید محتوای وبلاگ"",""دوبله"",""دوبله و گویندگی""]"
طراحی و تولید محتوا کاتالوگ تبلیغاتی,https://www.karlancer.com/projects/21446,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,,,[]
کشیدن خط ترند با استفاده از دیتا در dataframe,https://www.karlancer.com/projects/21445,۲۹ روز مانده,زمان پیشنهادی ۱۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,,,[]
طراحی کاتولوگ به همراه محتوا,https://www.karlancer.com/projects/21444,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,,,[]
جذب نیروی خانم آشنا به تولید محتوا,https://www.karlancer.com/projects/21443,۲۹ روز مانده,زمان پیشنهادی ۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,,,[]
نگارش و ویراستاری کتاب ۵۰ صفحه ای,https://www.karlancer.com/projects/21441,۲۹ روز مانده,زمان پیشنهادی ۱۰ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,یه پروژه مشترک بین من و یکی از رفیقام میخوایم یک کتاب ۵۰ صفحه ای را برامون ویرایش و نگارش کنید,"۵۰۰,۰۰۰ تومان","[""نگارش و ویرایش متن"",""نگارش"",""ویرایش متن"",""ویراستاری"",""ویراستاری متن فارسی"",""صفحه‌ آرایی"",""صفحه آرایی مجله و کتاب"",""صفحه آرائی""]"
افزونه وردپرسی کپی محصولات یک فروشگاه,https://www.karlancer.com/projects/21440,۲۹ روز مانده,زمان پیشنهادی ۲۰ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"سلام. 
من به دنبال شخصی هستم که بتونه یک افزونه وردپرسی برام بنویسه که محصولات سایت فروشگاهی خارجی رو کپی کنه و بیاره توی وب سایت من، قیمت اون رو تبدیل به تومان کنه تا کاربر بتونه پرداختش رو در درگاه های داخلی انجام بده.
به یک ترنسلتور هم نیاز هست تا بتونه جزییات محصول رو به فارسی ترجمه کنه.
اگه می تونین انجامش بدین، خوشحال میشم تا یه گپی با هم بزنیم.","۵,۰۰۰,۰۰۰ تومان","[""php"",""افزونه"",""وردپرس"",""وردپرس کار"",""وردپرس wordpress"",""برنامه نویسی"",""برنامه نویسی وب"",""سایت وردپرس"",""پی اچ پی""]"
کراول کردن یک کوییز انگلیسی,https://www.karlancer.com/projects/21438,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"با سلام
ما می‌خواهیم تمام حالات موجود در کوییز زیر را کراول کنیم:
https://www.opinionstage.com/brookfieldcb/discover-your-brand-archetype

لطفا دوستانی که با کار کاروال آشنا هستن و قبلا پروژه مشابهی انجام دادند، پیشنهاد خود را ارسال کنند.
با تشکر.","۱,۵۰۰,۰۰۰ تومان","[""برنامه نویسی"",""برنامه نویسی وب"",""برنامه نویسی پایتون"",""دیتابیس"",""python"",""پایتون"",""database""]"
ساخت لوگو شرکت کیا,https://www.karlancer.com/projects/21437,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,طراحی لوگو شرکت (کیا ) از متقاضیانی که درخواست میدن برای قبول پروژه یک طرح به صورت پیش فرض  برای ما ارسال کنند .با بهترین طرح ارسالی به صورت مداوم کارهای طراحی انجام میدیم. شرکت ما در زمینه دیجیتال مارکتینگ فعالیت می کند,"۱۵۰,۰۰۰ تومان","[""لوگو"",""لوگوتایپ"",""طراحی لوگو"",""طراحی لوگو و لوگوتایپ"",""طراحی لوگو و کارت ویزیت"",""ساخت لوگو"",""فتوشاپ"",""ادوبی فتوشاپ"",""فتوشاپ کار"",""ادوبی ایلوستریتور""]"
ثبت محصولات بلبرینگ,https://www.karlancer.com/projects/21435,۲۹ روز مانده,زمان پیشنهادی ۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"سلام به شما فریلنسر عزیز

حدود 569 آیتم داریم که میخواهیم موارد زیر در اکسل ثبت شود

قطر داخلی قطر خارجی عرض و وزن کالا ( بدست آوردن موارد در فایل راهنما ذکر شده است )

نیازی به تخصص خاصی ندارید و فقط قراره موارد را به حالت ذکر شده سرچ کنید و در فایل اکسل درج کنید","۵۰۰,۰۰۰ تومان","[""اکسل ، ورد"",""وارد کردن اطلاعات"",""وارد کردن محتوا"",""دیتا اینتری"",""دیتا وارد کردن"",""اکسل"",""اکسل حرفه ای"",""excel""]"
زیباسازی سایت,https://www.karlancer.com/projects/21434,۲۹ روز مانده,زمان پیشنهادی ۷ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"با سلام
وقت بخیر
قصد دارم سایت https://khoshetala.ir از نظر ظاهر در قسمت بنر و فوتر کمی زیبا تر شود
البته می خواهم یک کادر هم برای شماره های تماس بالای فوتر قرار بگیرد
ممنون می شوم دوستانی که تخصص زیباسازی سایت دارند بررسی کنند و نظر دهند
سایت هم وردپرسی هست","۱۵۰,۰۰۰ تومان","[""طراحی سایت"",""طراحی سایت با وردپرس"",""طراحی سایت ورد پرسی"",""وردپرس"",""وردپرس کار"",""وردپرس wordpress"",""سایت وردپرسی"",""برنامه نویسی"",""برنامه نویسی وب""]"
نرم افزار تحت وب php,https://www.karlancer.com/projects/21433,۲۹ روز مانده,زمان پیشنهادی ۱۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"چهار نوع واکسن کرونا از چهار کشور مختلف خرداری شده و در انبار نگهداری میشود
شهروندان له ترتیب اولویت لازم است در دو نویت واکسن بزنند
شهروندتن در 4 اولویت تقسیم بندی شدهاند پس اتمام اولویت اول وارد اولیوت دوم میشوشم الا آخر.
بازه زمانی بین دوز اول تا دوز دوم 15 روز است
نرم افزار اول باید اطلاعات واکسن های دریافتی را دریافت کند . اطلاعات شهروندان و لولویت انها را مشخص کند 
علاوه بر این باید مشخص شود شهروند چه واکسنی زده و تاریخ دوز بعدی ان کی هست","۵۰۰,۰۰۰ تومان","[""asp.net"",""php"",""پی اچ پی"",""ای اس پی دات نت"",""asp.netcore"",""برنامه نویسی تحت وب"",""اپلیکیشن"",""اپلیکیشن نویسی"",""برنامه نویسی"",""برنامه نویسی وب""]"
طراحی لوگو,https://www.karlancer.com/projects/21431,۲۹ روز مانده,زمان پیشنهادی ۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"با سلام خدمت دوستان مجری
ما یک لوگوی تخصصی برای وب سایت در نظر داریم که هم معنی و مفهوم حیوانات خانگی مثل گربه و سگ را داشته باشه و هم مفهوم آموزش زبان انگیسی را در بر داشته باشه.

نام فارسی: میوپیشی
نام انگلیسی: mioopishi
شعار ما: میوپیشی برند دنیای حیوانات

نکته:
1- نمونه کار یا سابقه کار فریلنسرهای عزیز برای ما مهم نیست.
2- از فریلنسرهایی که می خواهند پیشنهاد طراحی بدهند تقاضا داریم قبل از استخدام، طرح اولیه لوگو خواسته شده را پیشنهاد و ارائه کنند تا طرح های رسیده بررسی شده و در صورت پسند طرح و نزدیک شدن طرح اولیه به خواسته و مفهوم مدنظر ما، فریلنسر استخدام برای انجام طرح اصلی و ارائه فایل اصلی و مادر شود. 
ممنون","۵۰۰,۰۰۰ تومان","[""طراحی گرافیک"",""طراحی لوگو"",""لوگو"",""ساخت لوگو"",""گرافیک"",""فتوشاپ"",""ادوبی فتوشاپ"",""فوتوشاپ"",""photoshop"",""ایلاستریتور""]"
